epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.0178,1.41119,2.6656,1.61926,0.38692,0.11112,0.38636,0.22973,1.37211,2.88183,1.70994,0.000467977,0.000467977,0.000467977
2,116.216,1.36188,2.16814,1.58616,0.37394,0.67409,0.44256,0.22413,1.52196,2.76507,1.97647,0.000938077,0.000938077,0.000938077
3,175.31,1.36332,1.94947,1.57408,0.54647,0.60912,0.51051,0.28071,1.54338,2.37074,1.99721,0.00140189,0.00140189,0.00140189
4,234.334,1.4284,2.08271,1.64328,0.41381,0.75641,0.45615,0.2221,1.52848,2.59135,1.91394,0.00140071,0.00140071,0.00140071
5,289.165,1.44501,2.0577,1.64386,0.4355,0.51504,0.486,0.25166,1.49148,2.39569,1.91551,0.00139127,0.00139127,0.00139127
6,351.021,1.39616,1.98954,1.60461,0.44523,0.73308,0.42298,0.23669,1.44988,2.25588,1.7852,0.00138184,0.00138184,0.00138184
7,407.428,1.36985,1.85967,1.58941,0.4358,0.68079,0.4934,0.26092,1.53558,2.04869,1.8414,0.00137241,0.00137241,0.00137241
1,70.9612,1.42757,3.21328,1.79768,0.00706,0.88312,0.39973,0.24335,1.19845,3.18387,1.64734,0.000467977,0.000467977,0.000467977
2,142.985,1.36554,2.6204,1.68984,0.53387,0.58886,0.52623,0.3367,1.33476,2.40311,1.68619,0.000850823,0.000850823,0.000850823
3,217.423,1.38185,2.41308,1.6793,0.40471,0.74861,0.49517,0.31256,1.34716,2.70847,1.71205,0.00113936,0.00113936,0.00113936
4,291.504,1.38184,2.3138,1.69445,0.5343,0.61296,0.53879,0.30409,1.38351,2.36514,1.74759,0.00100459,0.00100459,0.00100459
5,359.104,1.3283,2.17616,1.64293,0.52757,0.78503,0.59656,0.37118,1.46888,1.95737,1.77875,0.000863116,0.000863116,0.000863116
6,420.042,1.3072,2.08074,1.57102,0.48014,0.8297,0.5374,0.34928,1.43675,2.12242,1.73964,0.000721645,0.000721645,0.000721645
7,493.628,1.28056,2.03527,1.53744,0.55073,0.75256,0.62143,0.37798,1.4065,1.84788,1.69055,0.000580174,0.000580174,0.000580174
8,560.577,1.22917,1.91368,1.52778,0.58347,0.76807,0.61293,0.39071,1.37158,1.78109,1.66333,0.000438703,0.000438703,0.000438703
9,614.22,1.20945,1.83795,1.49044,0.61053,0.80451,0.62604,0.40668,1.29206,1.71044,1.59034,0.000297232,0.000297232,0.000297232
10,680.283,1.17919,1.83447,1.48405,0.58156,0.79379,0.58527,0.36719,1.31839,1.69444,1.60985,0.000155761,0.000155761,0.000155761
1,65.2434,1.48884,2.89187,1.78344,1,0.04659,0.76235,0.45066,1.20492,2.95465,1.58173,0.00046676,0.00046676,0.00046676
2,144.463,1.39933,2.20642,1.69374,0.66479,0.51042,0.55129,0.2962,1.40586,2.63218,1.75551,0.000856121,0.000856121,0.000856121
3,231.723,1.34381,2.01638,1.66505,0.65303,0.70581,0.69449,0.36266,1.47056,2.09431,1.85073,0.00114976,0.00114976,0.00114976
4,313.284,1.41852,1.99569,1.69044,0.76033,0.63542,0.69344,0.36894,1.53818,1.95157,1.85071,0.0011719,0.0011719,0.0011719
5,394.7,1.35389,1.837,1.63501,0.78581,0.58333,0.66384,0.36062,1.57581,2.00474,1.8704,0.00100687,0.00100687,0.00100687
6,473.48,1.32968,1.78125,1.59127,0.82633,0.74345,0.83115,0.47845,1.40269,1.66718,1.726,0.000841835,0.000841835,0.000841835
7,530.039,1.29446,1.61002,1.54753,0.85068,0.73958,0.82749,0.48417,1.36545,1.62918,1.65039,0.000676802,0.000676802,0.000676802
8,585.02,1.28708,1.53381,1.56006,0.90885,0.8125,0.87366,0.49686,1.41139,1.51819,1.68411,0.000511769,0.000511769,0.000511769
9,640.436,1.20804,1.47242,1.48482,0.87196,0.78125,0.86093,0.5348,1.3146,1.46532,1.58704,0.000346736,0.000346736,0.000346736
10,695.853,1.17664,1.41044,1.46627,0.89416,0.79202,0.87469,0.54101,1.30254,1.35833,1.58645,0.000181703,0.000181703,0.000181703
